cluster,keyword,volume,kd,cpc_usd,traffic_potential,intent_bucket,ahrefs_intents,serp_features,growth_12mo,opportunity,parent_keyword
Brand 'is X halal' checks,paris baguette halal,1400,0,0.15,1100,Commercial,"Informational,Commercial,Branded,Local","AI Overview,Thumbnail,People also ask,Local pack,Video preview,Image pack",13.63,314.9,is paris baguette halal
Brand 'is X halal' checks,sukiya halal,1000,2,0.15,13000,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,Sitelinks,People also ask,Local pack,Video preview,Image pack",12.84,374.4,sukiya
Brand 'is X halal' checks,is paris baguette halal,900,0,0.25,1100,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions,Video preview",12.91,295.9,is paris baguette halal
Brand 'is X halal' checks,yoshinoya halal,800,3,0.35,3600,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Image pack,Local pack,Video preview",11.56,316.9,yoshinoya
Brand 'is X halal' checks,is chateraise halal,700,29,3.00,350,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview",9.67,210.0,is chateraise halal
Brand 'is X halal' checks,awfully chocolate halal,700,0,0.08,90,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Knowledge panel,Video preview,Image pack",1.6,285.1,is awfully chocolate halal
Brand 'is X halal' checks,is genki sushi halal,700,0,0.00,250,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview,Sitelinks",6.92,285.1,is genki sushi halal
Brand 'is X halal' checks,is mos burger halal,700,0,0.00,9400,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Sitelinks,Discussions,Video preview",15.33,367.3,mos burger
Brand 'is X halal' checks,is chagee halal,600,0,0.00,0,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Video preview,Image pack",56.59,278.5,
Brand 'is X halal' checks,is awfully chocolate halal,600,0,0.15,200,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview",7.24,278.5,is awfully chocolate halal
Brand 'is X halal' checks,is breadtalk halal,500,0,0.00,80,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask",9.56,270.8,is breadtalk halal
Brand 'is X halal' checks,is saizeriya halal,500,0,0.00,100,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions,Video preview",9.42,270.8,is saizeriya halal
Brand 'is X halal' checks,chocolate origin halal,500,4,0.50,4700,Commercial,"Informational,Navigational,Commercial,Branded,Local","Sitelinks,People also ask,Local pack,Image pack,Video preview",2.82,325.0,chocolate origin
Brand 'is X halal' checks,is cedele halal,450,0,0.50,10,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask",9.74,266.3,cedele halal certified
Brand 'is X halal' checks,is four leaves halal,400,2,0.00,2900,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask",8.18,310.7,four leaves
Brand 'is X halal' checks,emicakes halal,400,0,0.35,3000,Transactional/Local,"Informational,Commercial,Transactional,Branded,Local","Sitelinks,People also ask,Local pack",1.89,317.9,emicakes
Brand 'is X halal' checks,is yoshinoya halal,400,3,0.00,100,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview",11.2,254.2,yoshinoya halal
Brand 'is X halal' checks,is sukiya halal,400,0,0.00,1100,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions",14.52,274.8,sukiya menu
Brand 'is X halal' checks,is shake shack halal,350,0,0.00,200,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions",5.8,255.6,is shake shack halal
Brand 'is X halal' checks,is dominos halal,350,1,0.00,0,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask",7.81,253.3,is dominos halal singapore
Brand 'is X halal' checks,is tim hortons halal,350,1,0.00,250,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview",15.98,253.3,is tim hortons halal
Brand 'is X halal' checks,is potato corner halal,350,0,0.00,1100,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask",16.6,274.8,potato corner
Brand 'is X halal' checks,monster curry halal,350,2,0.00,1100,Commercial,"Informational,Commercial,Branded,Local","AI Overview,Thumbnail,People also ask,Local pack,Image pack",6.62,269.8,monster planet jem
Brand 'is X halal' checks,saizeriya halal,350,0,0.90,150,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,Image pack,People also ask,Discussions,Video preview,Local pack",2.59,255.6,is saizeriya halal
Brand 'is X halal' checks,is koi halal,300,0,0.00,150,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask",7.89,249.1,is playmade halal
Brand 'is X halal' checks,is tiong bahru bakery halal,300,0,0.35,150,Informational,"Informational,Branded,Local","AI Overview,Thumbnail,Video preview,People also ask,Knowledge panel",11.75,249.1,tiong bahru bakery halal
Brand 'is X halal' checks,is fun toast halal,300,2,0.00,600,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask",12.59,244.6,funtoast
Brand 'is X halal' checks,namu bulgogi halal,300,0,0.00,0,Other,,,71.81,249.1,
Brand 'is X halal' checks,is bengawan solo halal,300,0,0.00,200,Informational,"Informational,Non-branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions,Video preview",7.13,249.1,is bengawan solo halal
Brand 'is X halal' checks,tim hortons halal,300,0,0.00,250,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask",15.96,249.1,is tim hortons halal
Brand 'is X halal' checks,is jollibee halal,250,7,6.00,150,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions",1.53,226.1,is jollibee halal in singapore
Brand 'is X halal' checks,bengawan solo halal,250,0,0.50,3700,Commercial,"Informational,Commercial,Branded,Local","AI Overview,Thumbnail,People also ask,Image pack",-2.61,327.0,bengawan solo
Brand 'is X halal' checks,is monster curry halal,250,1,0.00,1100,Informational,"Informational,Branded,Non-local","People also ask,Discussions,Local pack",8.79,272.3,monster planet jem
Brand 'is X halal' checks,shake shack halal,250,0,0.00,150,Commercial,"Informational,Commercial,Branded,Local","AI Overview,Thumbnail,People also ask",1.0,241.5,is shake shack halal
Brand 'is X halal' checks,is royce chocolate halal,250,0,0.35,200,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask",8.91,241.5,is royce chocolate halal
Brand 'is X halal' checks,potato corner halal,250,0,0.00,800,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Local pack",8.75,261.3,potato corner
Brand 'is X halal' checks,is pepper lunch halal,250,0,0.00,200,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview,Discussions",1.67,241.5,is pepper lunch halal
Brand 'is X halal' checks,is delifrance halal,250,0,0.15,9500,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,Sitelinks,People also ask",9.49,367.8,delifrance
Brand 'is X halal' checks,is swee heng halal,250,4,0.60,6600,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,Sitelinks,People also ask",12.64,339.2,swee heng bakery
Brand 'is X halal' checks,pepper lunch halal,250,0,0.00,200,Commercial,"Informational,Commercial,Non-branded,Local","Local pack,People also ask,Discussions",3.37,241.5,is pepper lunch halal
Brand 'is X halal' checks,is butter and cream bakery halal,250,0,0.00,40,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview,Local pack",26.79,241.5,is butter and cream bakery halal
Brand 'is X halal' checks,is starbucks halal,250,0,0.00,150,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask",3.37,241.5,is starbucks halal
Brand 'is X halal' checks,is chick fil a in singapore halal,250,0,0.00,0,Informational,,,0.0,241.5,
Brand 'is X halal' checks,breadtalk halal,200,0,0.30,100,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,Image pack,People also ask",0.0,232.2,is breadtalk halal
Brand 'is X halal' checks,is haribo halal,200,0,1.20,20,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions",10.88,232.2,is haribo halal
Brand 'is X halal' checks,is hi chew halal,200,0,1.80,70,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview,Discussions,Sitelinks",10.91,232.2,hi chew halal
Brand 'is X halal' checks,cedele halal,200,0,0.35,150,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask",0.0,232.2,is cedele halal
Brand 'is X halal' checks,is jack's place halal,200,4,0.00,100,Informational,"Informational,Branded,Local","AI Overview,Thumbnail,Local pack,People also ask,Video preview",0.0,223.8,is jack's place halal
Brand 'is X halal' checks,is liho halal,200,0,0.00,90,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Video preview",0.0,232.2,is liho halal
Brand 'is X halal' checks,is twg halal,200,0,0.00,50,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Bottom ads",0.0,232.2,is twg tea halal
Brand 'is X halal' checks,is gluten halal,200,0,0.00,80,Informational,"Informational,Non-branded,Non-local","AI Overview,Thumbnail,People also ask",0.0,232.2,is gluten halal
Brand 'is X halal' checks,is haagen dazs halal,200,0,0.20,20,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Sitelinks",0.0,232.2,is haagen dazs halal
Brand 'is X halal' checks,twelve cupcakes halal,200,0,0.30,250,Transactional/Local,"Informational,Commercial,Transactional,Branded,Local","AI Overview,Thumbnail,People also ask,Image pack,Local pack",3.36,232.2,is twelve cupcakes halal
Brand 'is X halal' checks,four leaves halal,200,0,0.20,2900,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask",3.71,316.4,four leaves
Brand 'is X halal' checks,is krispy kreme halal,200,0,0.00,40,Informational,"Informational,Branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions",0.0,232.2,is krispy kreme halal
Brand 'is X halal' checks,starbucks halal,200,1,0.00,150,Informational,"Informational,Branded,Non-local","Sitelinks,People also ask,Thumbnail",0.0,230.1,is starbucks halal
Brand 'is X halal' checks,is lindt chocolate halal,200,1,0.00,90,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions",0.0,230.1,is lindt chocolate halal
Brand 'is X halal' checks,chateraise halal,200,0,0.05,11000,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Image pack",0.0,374.1,chateraise
Brand 'is X halal' checks,is old chang kee halal,200,0,0.00,100,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Knowledge panel",10.17,232.2,is old chang kee halal
Brand 'is X halal' checks,is pizza hut halal,200,0,1.90,47000,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview",0.0,437.1,pizza hut
Brand 'is X halal' checks,mos burger halal,200,0,0.00,8400,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Image pack",0.0,362.4,mos burger
Brand 'is X halal' checks,is mr bean halal,200,0,0.00,3400,Commercial,"Informational,Commercial,Branded,Non-local",People also ask,0.0,323.3,mr bean singapore
Brand 'is X halal' checks,is bob the baker boy halal,200,26,0.00,1500,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Bottom ads,Paid sitelinks,Knowledge panel",0.0,220.0,halal bakery
Brand 'is X halal' checks,is ferrero rocher halal,200,0,0.00,30,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Video preview",9.6,232.2,is ferrero rocher halal
Brand 'is X halal' checks,is kombucha halal,200,0,0.02,50,Informational,"Informational,Non-branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions",0.0,232.2,is kombucha halal
Brand 'is X halal' checks,is oriental kopi singapore halal,200,0,0.00,0,Informational,,,0.0,232.2,
Brand 'is X halal' checks,delifrance halal,200,0,0.15,70,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,AI Overview,Thumbnail,Local pack",0.0,232.2,halal snacks
Brand 'is X halal' checks,is white rabbit candy halal,200,0,0.00,90,Commercial,"Informational,Commercial,Branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions",0.0,232.2,is white rabbit candy halal
Brand 'is X halal' checks,is nandos halal,150,0,0.00,10,Informational,"Informational,Branded,Non-local","AI Overview,People also ask,Discussions,Video preview",0.0,220.4,nandos halal
Brand 'is X halal' checks,is hans halal,150,0,0.00,90,Informational,"Informational,Branded,Local","People also ask,Video preview",0.0,220.4,is hans halal
Brand 'is X halal' checks,is plain vanilla halal,150,0,0.00,80,Commercial,"Informational,Commercial,Branded,Non-local","People also ask,Knowledge panel,Discussions",0.0,220.4,plain vanilla tiong bahru
Brand 'is X halal' checks,is gelatin halal,150,1,0.00,70,Informational,"Informational,Non-branded,Non-local","AI Overview,Thumbnail,People also ask,Discussions",0.0,218.4,is gelatin halal
Brand 'is X halal' checks,is poulet halal,150,0,0.00,7500,Commercial,"Informational,Commercial,Branded,Local","People also ask,Local pack",0.0,357.5,poulet
